8.915013074874877930e-01,9.673007726669311523e-01,9.259293675422668457e-01,7.811635136604309082e-01
8.891403079032897949e-01,9.683032631874084473e-01,9.056257009506225586e-01,7.987396717071533203e-01
8.896802663803100586e-01,9.677006602287292480e-01,9.300163388252258301e-01,7.733808755874633789e-01
8.882665634155273438e-01,9.654929637908935547e-01,9.076766371726989746e-01,7.852724790573120117e-01
8.985254764556884766e-01,9.662927985191345215e-01,9.076766371726989746e-01,7.852724790573120117e-01
8.985254764556884766e-01,9.664955139160156250e-01,9.643036723136901855e-01,7.669322490692138672e-01
8.972983360290527344e-01,9.664955139160156250e-01,9.384500980377197266e-01,8.151288032531738281e-01
8.726033568382263184e-01,9.677006602287292480e-01,8.340896368026733398e-01,7.935512065887451172e-01
8.932144045829772949e-01,9.677006602287292480e-01,9.459792971611022949e-01,8.252073526382446289e-01
8.885610699653625488e-01,9.677006602287292480e-01,8.715026378631591797e-01,8.251637220382690430e-01
8.860774040222167969e-01,9.677006602287292480e-01,8.004353046417236328e-01,7.567532062530517578e-01
8.819001913070678711e-01,9.677006602287292480e-01,7.523524761199951172e-01,7.633962631225585938e-01
8.862639069557189941e-01,9.674980044364929199e-01,8.488494753837585449e-01,7.592502832412719727e-01
8.890519738197326660e-01,9.673007726669311523e-01,8.867729306221008301e-01,8.186715841293334961e-01
8.915503621101379395e-01,9.668954014778137207e-01,9.391785264015197754e-01,8.186715841293334961e-01
8.934352993965148926e-01,9.685005545616149902e-01,9.391785264015197754e-01,8.140503168106079102e-01
8.934352993965148926e-01,9.678978919982910156e-01,9.411219954490661621e-01,8.051577806472778320e-01
8.958257436752319336e-01,9.670981168746948242e-01,9.675249457359313965e-01,7.580101490020751953e-01
9.229700565338134766e-01,9.662927985191345215e-01,9.660053253173828125e-01,8.140361309051513672e-01
8.859350085258483887e-01,9.660956263542175293e-01,9.639602899551391602e-01,7.642911672592163086e-01
8.998360037803649902e-01,9.660956263542175293e-01,9.598315358161926270e-01,7.973750829696655273e-01
